id,degree,slc,bc,cc
0,6,61,156.701,2.60656
1,8,60,1043.58,2.65574
2,4,48,39.4954,3.44262
3,3,54,8.6881,3.09836
4,1,41,0,3.86885
5,2,31,2.73333,4.32787
6,6,46,484.095,3.39344
7,5,59,358.355,2.72131
8,6,57,85.1688,2.70492
9,7,46,441.952,3.37705
10,5,54,74.1285,3
11,1,41,0,3.86885
12,1,47,0,3.65574
13,8,57,1380.22,2.7377
14,12,55,408.302,2.59016
15,8,61,1696.74,2.42623
16,6,51,12.6667,3
17,9,52,727.776,3.04918
18,7,61,119.513,2.57377
19,5,54,231.856,3.08197
20,9,58,624.855,2.52459
21,6,54,54.0226,2.85246
22,1,36,0,4.03279
23,3,58,64.1097,2.96721
24,6,60,98.2412,2.67213
25,3,40,5.78333,3.83607
26,3,49,17.7587,3.57377
27,5,54,132.462,3.16393
28,5,61,262.374,2.70492
29,9,53,516.26,2.81967
30,5,59,186.755,3.01639
31,1,36,0,4.03279
32,4,47,454.938,3.45902
33,10,55,382.978,2.67213
34,5,51,397.599,3.13115
35,1,42,0,3.80328
36,7,61,920.467,2.37705
37,11,58,866.459,2.47541
38,8,51,560.186,3
39,2,60,113.004,3
40,8,61,923.085,2.40984
41,5,52,33.5058,3.18033
42,6,56,163.92,2.93443
43,7,51,718.645,2.93443
44,4,51,53.8389,3.18033
45,11,61,299.781,2.4918
46,2,42,11.011,3.86885
47,6,58,83.4099,2.86885
48,1,34,0,4.11475
49,2,39,3.4,4.01639
50,7,54,192.673,2.70492
51,10,54,872.759,2.88525
52,4,55,43.9178,2.85246
53,2,43,4.36667,3.81967
54,7,54,185.323,3.01639
55,2,58,22.9687,3.16393
56,2,31,1.68571,4.34426
57,8,52,317.747,3.13115
58,1,40,0,3.98361
59,5,61,79.4644,2.77049
60,1,33,0,4.44262
61,3,51,76.6171,3.27869
